Pollster,Grade,Predictive +/-,Mean-reverted bias,# of polls,cat
Univision/Latino Decisions/North Star Opinion Research,B/C@@8,.79,D +1.1@@-1.1,7,D
Open Model Project,B/C@@8,.79,R +0.4@@.4,2,R
Rutgers University,B/C@@8,.79,D +0.3@@-.3,17,D
Neighbor,B/C@@8,.79,R +0.1@@.1,1,R
"Normington, Petts & Associates",B/C@@8,.79,D +0.7@@-.7,12,D
VCreek/AMG,B/C@@8,.8,D +0.3@@-.3,1,D
Lycoming College Polling Institute,B/C@@8,.8,D +0.4@@-.4,3,D
Rainmaker Media Group,B/C@@8,.8,D +0.2@@-.2,1,D
The Kitchens Group,B/C@@8,.8,D +0.2@@-.2,1,D
Saguaro Strategies,B/C@@8,.8,D +0.3@@-.3,2,D
Lauer Johnson Research,B/C@@8,.8,D +0.2@@-.2,1,D
University of Colorado (Boulder),B/C@@8,.8,D +0.4@@-.4,2,D
University of Alabama at Birmingham,B/C@@8,.81,R +0.3@@.3,2,R
Ohio University,B/C@@8,.81,D +0.3@@-.3,2,D
Hill Research Consultants,B/C@@8,.81,R +0.1@@.1,6,R
Hellenthal & Associates,B/C@@8,.82,D +0.3@@-.3,5,D
Bold Decision,B/C@@8,.82,D +0.4@@-.4,1,D
brilliant corners Research & Strategies,B/C@@8,.82,D +0.5@@-.5,1,D
Hendrix College,B/C@@8,.82,D +1.8@@-1.8,18,D
RMS Research,B/C@@8,.82,D +0.3@@-.3,3,D
Phillips Academy,B/C@@8,.82,R +0.9@@.9,7,R
Data West Polling,B/C@@8,.83,D +0.3@@-.3,2,D
Gonzales Research & Marketing Strategies Inc.,B/C@@8,.83,R +0.5@@.5,10,R
Nelson Research,B/C@@8,.83,R +0.3@@.3,1,R
WCIA-TV,B/C@@8,.83,R +0.3@@.3,2,R
Arizona State University,B/C@@8,.83,D +0.4@@-.4,8,D
Hickman Analytics,B/C@@8,.84,D +0.3@@-.3,1,D
Colby College,B/C@@8,.84,D +1.6@@-1.6,6,D
Cole Hargrave Snodgrass & Associates,B/C@@8,.84,D +0.1@@-.1,5,D
The Justice Collaborative Institute,B/C@@8,.84,D +0.5@@-.5,2,D
Opinium,B/C@@8,.85,D +0.6@@-.6,2,D
GCR & Associates,B/C@@8,.86,+0.0@@0,1,E
East Tennessee State University,B/C@@8,.87,D +0.7@@-.7,2,D
Brandwatch Qriously,B/C@@8,.87,D +0.7@@-.7,3,D
Global Marketing Research Services,B/C@@8,.87,D +0.4@@-.4,1,D
Targoz Market Research,C+@@9,.87,D +1.1@@-1.1,24,D
Loras College,B/C@@8,.89,D +1.3@@-1.3,18,D
Market Research Insight,B/C@@8,.89,R +0.5@@.5,27,R
Victory Enterprises,B/C@@8,.9,R +0.4@@.4,1,R
Western Kentucky University,B/C@@8,.91,D +0.7@@-.7,4,D
SoonerPoll.com,B/C@@8,.92,D +2.7@@-2.7,26,D
Bainbridge Media Group,B/C@@8,.92,D +0.4@@-.4,1,D
Schapiro Group,B/C@@8,.92,+0.0@@0,2,E
Millersville University,B/C@@8,.93,R +0.5@@.5,5,R
Marketing Resource Group (MRG),B/C@@8,.94,D +0.3@@-.3,10,D
Hampton University,B/C@@8,.94,R +0.6@@.6,4,R
Massie & Associates,B/C@@8,.95,R +0.4@@.4,2,R
Greg Smith & Associates,B/C@@8,.96,D +0.7@@-.7,5,D
SurveyMonkey,C@@10,.96,D +4.6@@-4.6,268,D
Citizen Data,B/C@@8,.97,D +2.3@@-2.3,12,D
RABA Research,B/C@@8,.97,D +1.5@@-1.5,6,D
BWD Global,B/C@@8,.98,R +0.1@@.1,2,R
University of Iowa,B/C@@8,.98,R +0.2@@.2,3,R
Kiaer Research,B/C@@8,1,D +0.8@@-.8,2,D
DeSales University,B/C@@8,1,D +0.6@@-.6,1,D
Digital Research,B/C@@8,1.02,D +0.1@@-.1,21,D
Repass,B/C@@8,1.03,D +0.1@@-.1,4,D
Bluegrass Community and Technical College,B/C@@8,1.03,D +0.8@@-.8,2,D
Marketing Workshop,B/C@@8,1.03,D +0.3@@-.3,8,D
Swayable,C@@10,1.03,D +3.8@@-3.8,89,D
Craciun Research Group,B/C@@8,1.03,D +0.6@@-.6,1,D
Momentum Analysis,B/C@@8,1.04,D +0.3@@-.3,3,D
Roanoke College,B/C@@8,1.06,D +0.5@@-.5,20,D
St. Cloud State University,B/C@@8,1.06,D +1.5@@-1.5,17,D
TargetPoint,B/C@@8,1.07,+0.0@@0,2,E
Meredith College,B/C@@8,1.08,D +1.1@@-1.1,6,D
Baldwin Wallace University,B/C@@8,1.09,D +1.3@@-1.3,4,D
MRG Research,B/C@@8,1.1,R +2.8@@2.8,25,R
Glascock Group,B/C@@8,1.12,D +0.2@@-.2,2,D
Elucd,B/C@@8,1.12,+0.0@@0,4,E
Tomahawk Strategies,B/C@@8,1.15,D +0.8@@-.8,1,D
Carroll Strategies,B/C@@8,1.17,R +1.5@@1.5,5,R
Dane & Associates,B/C@@8,1.17,R +0.7@@.7,2,R
GOP Calls,B/C@@8,1.18,R +0.8@@.8,2,R
CPEC,B/C@@8,1.21,+0.0@@0,2,E
Amber Integrated,B/C@@8,1.22,D +1.9@@-1.9,8,D
University of Minnesota,B/C@@8,1.23,D +0.4@@-.4,10,D
Riggs Research Services,B/C@@8,1.23,D +0.7@@-.7,1,D
Thomas Partners Strategies,B/C@@8,1.23,R +1.0@@1,2,R
Target Insyght,B/C@@8,1.25,R +0.5@@.5,6,R
Point Blank Political,B/C@@8,1.27,+0.0@@0,6,E
Mitchell Research & Communications,C-@@11,1.27,D +0.9@@-.9,76,D
Saint Leo University Polling Institute,B/C@@8,1.27,D +1.4@@-1.4,6,D
Center Street PAC,B/C@@8,1.27,D +1.6@@-1.6,4,D
"Island Analytics & Marketing, LLC",B/C@@8,1.29,+0.0@@0,1,E
University of Wyoming,B/C@@8,1.3,D +2.2@@-2.2,5,D
FM3 Research,C/D@@12,1.3,D +1.8@@-1.8,11,D
McLaughlin & Associates,C/D@@12,1.37,R +1.5@@1.5,28,R
Capen Analytics,C/D@@12,1.38,+0.0@@0,1,E
Triton Polling & Research,C/D@@12,1.42,D +1.0@@-1,3,D
The Political Matrix/The Listener Group,C/D@@12,1.43,D +1.4@@-1.4,12,D
Opinion Research Associates,C/D@@12,1.46,D +1.6@@-1.6,14,D
TCJ Research,F@@13,1.58,R +4.1@@4.1,132,R
Brown University,C/D@@12,1.59,R +0.2@@.2,14,R
Brigham Young University,C/D@@12,1.59,D +1.6@@-1.6,4,D
Indiana University-Purdue University Fort Wayne (Downs Center),C/D@@12,1.75,+0.0@@0,3,E
Long Island University,C/D@@12,1.77,D +1.9@@-1.9,4,D
Nielson Brothers Polling,C/D@@12,1.9,D +3.1@@-3.1,11,D
Ascend Action,C/D@@12,2.23,D +3.3@@-3.3,6,D
Jayhawk Consulting Services,C/D@@12,2.31,D +2.3@@-2.3,2,D
Fort Hays State University,C/D@@12,2.45,R +1.1@@1.1,6,R
